model,seq_len,layer,head,tail_window,sink_share_first_1,sink_share_first_4,sink_share_first_8,uniform_first_1,uniform_first_4,uniform_first_8,boost_first_1,boost_first_4,boost_first_8,peak_key_pos,peak_key_mass,top1_first4_query_frac,top1_first8_query_frac
gpt2,64,0,0,64,0.2034533023834228,0.2749537527561188,0.3733909130096435,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.74479569974248,1.2018005343514668,0.98714275522142,0,0.2034533023834228,0.484375,0.484375
gpt2,64,0,1,64,0.0166186280548572,0.0702749639749527,0.1618722081184387,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.2242024989824326,0.3071661630730324,0.4279455443300619,6,0.0363518930971622,0.0625,0.125
gpt2,64,0,2,64,0.2351646423339843,0.3148292899131775,0.4281727075576782,0.0741232953704026,0.2287848481482772,0.3782542201060783,3.1726145088239748,1.376093270429929,1.1319707350194288,0,0.2351646423339843,0.65625,0.65625
gpt2,64,0,3,64,0.0268485583364963,0.0672613829374313,0.1306827068328857,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.3622148503022027,0.2939940449808053,0.3454890914270219,39,0.0290019568055868,0.0625,0.125
gpt2,64,0,4,64,0.053232055157423,0.1152844950556755,0.1818948686122894,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.7181555392460132,0.5038991698478158,0.4808799451365764,0,0.053232055157423,0.09375,0.140625
gpt2,64,0,5,64,0.0474688708782196,0.2068707942962646,0.3182796239852905,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.6404042162590342,0.9042154494522736,0.8414436827592607,2,0.0652383118867874,0.296875,0.453125
gpt2,64,0,6,64,0.1289064288139343,0.1724075376987457,0.3285420536994934,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.7390811912742687,0.7535793523660582,0.8685747210100035,0,0.1289064288139343,0.171875,0.328125
gpt2,64,0,7,64,0.0717468708753585,0.1266410797834396,0.1868548840284347,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.9679395730698588,0.5535378798396762,0.4939928600823881,0,0.0717468708753585,0.09375,0.15625
gpt2,64,0,8,64,0.1243879497051239,0.2348586320877075,0.3421087563037872,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.678122229773285,1.026548016569235,0.9044413469011546,0,0.1243879497051239,0.34375,0.390625
gpt2,64,0,9,64,0.2008438110351562,0.3078928589820862,0.4142100512981415,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.709590959650628,1.345774693884179,1.0950573166955802,0,0.2008438110351562,0.875,0.875
gpt2,64,0,10,64,0.1293132305145263,0.2360368371009826,0.3405446708202362,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.7445693674078204,1.031697855043291,0.9003063355769917,0,0.1293132305145263,0.21875,0.21875
gpt2,64,0,11,64,0.1880741119384765,0.2980328798294067,0.4335864782333374,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.537314497401236,1.3026775253763716,1.1462832539230934,0,0.1880741119384765,0.890625,0.890625
gpt2,64,1,0,64,0.0626478791236877,0.1277832984924316,0.1828501224517822,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.8451847534655479,0.5585304250988435,0.4834053732447543,0,0.0626478791236877,0.109375,0.125
gpt2,64,1,1,64,0.1142512559890747,0.1505137681961059,0.2099263072013855,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.54136773625819,0.6578834630628896,0.5549873498900115,0,0.1142512559890747,0.109375,0.171875
gpt2,64,1,2,64,0.1051229983568191,0.1578067541122436,0.249452531337738,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.4182180896236118,0.689760512505478,0.6594838023691609,0,0.1051229983568191,0.109375,0.171875
gpt2,64,1,3,64,0.6060256958007812,0.6611064076423645,0.7172276973724365,0.0741232953704026,0.2287848481482772,0.3782542201060783,8.175914100586072,2.889642443514862,1.896152532472198,0,0.6060256958007812,1.0,1.0
gpt2,64,1,4,64,0.2271099090576172,0.2942883372306824,0.3775164484977722,0.0741232953704026,0.2287848481482772,0.3782542201060783,3.063947817251281,1.2863104336348,0.9980495350240928,0,0.2271099090576172,1.0,1.0
gpt2,64,1,5,64,0.2024345397949218,0.268048882484436,0.407084196805954,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.73105153762165,1.1716199068861042,1.076218519628917,0,0.2024345397949218,0.609375,0.6875
gpt2,64,1,6,64,0.3355364799499511,0.4020899534225464,0.5043952465057373,0.0741232953704026,0.2287848481482772,0.3782542201060783,4.526734520817467,1.7575025473800117,1.3334821389812486,0,0.3355364799499511,0.796875,0.796875
gpt2,64,1,7,64,0.2293002605438232,0.2925626039505005,0.4105075597763061,0.0741232953704026,0.2287848481482772,0.3782542201060783,3.09349792663674,1.2787673935508543,1.0852689486482998,0,0.2293002605438232,0.84375,0.84375
gpt2,64,1,8,64,0.2754302024841308,0.3748549222946167,0.4741165041923523,0.0741232953704026,0.2287848481482772,0.3782542201060783,3.715838605228956,1.6384604370813505,1.2534334820095072,0,0.2754302024841308,1.0,1.0
gpt2,64,1,9,64,0.331064224243164,0.4574342370033264,0.5480952262878418,0.0741232953704026,0.2287848481482772,0.3782542201060783,4.466399160868361,1.9994079184249989,1.4490128520816847,0,0.331064224243164,1.0,1.0
gpt2,64,1,10,64,0.0180749408900737,0.1358919292688369,0.2540876865386963,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.2438496669603154,0.593972592016952,0.6717378763611401,1,0.0548986196517944,0.078125,0.125
gpt2,64,1,11,64,0.0851624608039856,0.1477552056312561,0.2426774054765701,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.1489297713818438,0.6458260100139797,0.6415722352245357,0,0.0851624608039856,0.109375,0.203125
gpt2,64,2,0,64,0.2280898094177246,0.2990940809249878,0.3367139101028442,0.0741232953704026,0.2287848481482772,0.3782542201060783,3.0771676876740783,1.3073159492237991,0.8901788590975022,0,0.2280898094177246,0.421875,0.421875
gpt2,64,2,1,64,0.5225915908813477,0.5774170756340027,0.6388223171234131,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.050301639584388,2.5238431666583714,1.688870297188649,0,0.5225915908813477,0.953125,0.953125
gpt2,64,2,2,64,0.0645385608077049,0.1191809475421905,0.1696766316890716,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.8706920069486698,0.5209302473778703,0.4485782911859839,0,0.0645385608077049,0.078125,0.140625
gpt2,64,2,3,64,0.0992093682289123,0.1685812324285507,0.2007588595151901,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.3384370963696597,0.7368548826244469,0.5307511426016317,0,0.0992093682289123,0.125,0.15625
gpt2,64,2,4,64,0.3455405235290527,0.3838996589183807,0.4303561151027679,0.0741232953704026,0.2287848481482772,0.3782542201060783,4.66169942664242,1.6779942466713198,1.1377430633347014,0,0.3455405235290527,0.421875,0.453125
gpt2,64,2,5,64,0.1043280363082885,0.1392237395048141,0.195180058479309,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.4074932285046065,0.6085356641038665,0.5160023288691199,0,0.1043280363082885,0.09375,0.140625
gpt2,64,2,6,64,0.2096287608146667,0.2801811993122101,0.333137035369873,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.828109027899093,1.2246492789182546,0.8807225872495157,0,0.2096287608146667,0.5625,0.5625
gpt2,64,2,7,64,0.1757869720458984,0.2314638197422027,0.3367394506931305,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.371548258445212,1.0117095673756735,0.8902463813852353,0,0.1757869720458984,0.734375,0.765625
gpt2,64,2,8,64,0.1334242820739746,0.1908853948116302,0.2236537188291549,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.8000317094273548,0.8343445658950104,0.5912788461855975,0,0.1334242820739746,0.109375,0.15625
gpt2,64,2,9,64,0.0970758199691772,0.1268873661756515,0.1922177374362945,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.3096533213219703,0.5546143776681175,0.5081707677508229,0,0.0970758199691772,0.078125,0.140625
gpt2,64,2,10,64,0.0936703085899353,0.1373142302036285,0.2188024520874023,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.2637094468325238,0.6001893539498477,0.578453432789305,0,0.0936703085899353,0.109375,0.125
gpt2,64,2,11,64,0.5785560607910156,0.5985013246536255,0.6321637630462646,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.805320282913818,2.6160007076418457,1.6712669137411855,0,0.5785560607910156,1.0,1.0
gpt2,64,3,0,64,0.840911865234375,0.8582404255867004,0.873348593711853,0.0741232953704026,0.2287848481482772,0.3782542201060783,11.344771721659724,3.751299233900613,2.3088931921682976,0,0.840911865234375,1.0,1.0
gpt2,64,3,1,64,0.4666481018066406,0.503480076789856,0.5311179757118225,0.0741232953704026,0.2287848481482772,0.3782542201060783,6.295566049441627,2.2006705464321072,1.404129676498718,0,0.4666481018066406,0.953125,0.953125
gpt2,64,3,2,64,0.1971053481101989,0.2625465393066406,0.2895476520061493,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.659155224079567,1.1475696115001557,0.7654842606248994,0,0.1971053481101989,0.28125,0.3125
gpt2,64,3,3,64,0.5490965843200684,0.5708619356155396,0.5855079293251038,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.407881443696876,2.4951911817410197,1.5479217367645042,0,0.5490965843200684,0.75,0.75
gpt2,64,3,4,64,0.7752494812011719,0.78934645652771,0.8165974020957947,0.0741232953704026,0.2287848481482772,0.3782542201060783,10.458918175819909,3.4501692875051253,2.158858668825391,0,0.7752494812011719,1.0,1.0
gpt2,64,3,5,64,0.4972162246704101,0.5530451536178589,0.6190574765205383,0.0741232953704026,0.2287848481482772,0.3782542201060783,6.707961676363192,2.4173154738788734,1.6366175011793094,0,0.4972162246704101,0.96875,0.984375
gpt2,64,3,6,64,0.166598379611969,0.2228060364723205,0.2661822438240051,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.24758463286687,0.973867099485182,0.7037125554061406,0,0.166598379611969,0.171875,0.21875
gpt2,64,3,7,64,0.2059137821197509,0.2377298027276992,0.2800388634204864,0.0741232953704026,0.2287848481482772,0.3782542201060783,2.777990118906291,1.0390976703738035,0.7403456419916528,0,0.2059137821197509,0.25,0.28125
gpt2,64,3,8,64,0.2289431095123291,0.278500497341156,0.3102541267871856,0.0741232953704026,0.2287848481482772,0.3782542201060783,3.088679589436412,1.2173030670311595,0.8202264781082349,0,0.2289431095123291,0.171875,0.21875
gpt2,64,3,9,64,0.437537670135498,0.499778002500534,0.5190486311912537,0.0741232953704026,0.2287848481482772,0.3782542201060783,5.902836185966529,2.1844890802236345,1.3722216530609777,0,0.437537670135498,0.796875,0.796875
gpt2,64,3,10,64,0.5181617736816406,0.5298107862472534,0.5534594655036926,0.0741232953704026,0.2287848481482772,0.3782542201060783,6.990538819035589,2.3157599401157847,1.4631944234448448,0,0.5181617736816406,0.984375,0.984375
gpt2,64,3,11,64,0.3003625869750976,0.3668397665023803,0.3904184699058532,0.0741232953704026,0.2287848481482772,0.3782542201060783,4.052202286395271,1.6034268417313575,1.032158926862372,0,0.3003625869750976,0.59375,0.59375
gpt2,64,4,0,64,0.4049666225910187,0.4667223393917084,0.4777863025665283,0.0741232953704026,0.2287848481482772,0.3782542201060783,5.463419031322796,2.040005460017273,1.263135418376924,0,0.4049666225910187,0.5625,0.5625
gpt2,64,4,1,64,0.4276647567749023,0.46938356757164,0.4918777644634247,0.0741232953704026,0.2287848481482772,0.3782542201060783,5.769640362558253,2.051637472370674,1.3003893633373915,0,0.4276647567749023,0.609375,0.609375
gpt2,64,4,2,64,0.6333656311035156,0.6945801973342896,0.7810408473014832,0.0741232953704026,0.2287848481482772,0.3782542201060783,8.544758134922558,3.035953661075172,2.064856928978734,0,0.6333656311035156,1.0,1.0
gpt2,64,4,3,64,0.416917085647583,0.4329600930213928,0.4915631115436554,0.0741232953704026,0.2287848481482772,0.3782542201060783,5.624643151174004,1.8924334217307437,1.299557507661912,0,0.416917085647583,0.515625,0.59375
gpt2,64,4,4,64,0.6890716552734375,0.7106017470359802,0.7396107316017151,0.0741232953704026,0.2287848481482772,0.3782542201060783,9.296290077634394,3.1059825542967503,1.9553271114709505,0,0.6890716552734375,1.0,1.0
gpt2,64,4,5,64,0.6085391044616699,0.6545340418815613,0.6777786016464233,0.0741232953704026,0.2287848481482772,0.3782542201060783,8.209822585743522,2.8609151662760146,1.7918599862715237,0,0.6085391044616699,0.875,0.875
gpt2,64,4,6,64,0.532958984375,0.552627682685852,0.5851306915283203,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.190168511960276,2.415490742322629,1.546924423907882,0,0.532958984375,1.0,1.0
gpt2,64,4,7,64,0.1462821960449218,0.1662581115961074,0.2283241152763366,0.0741232953704026,0.2287848481482772,0.3782542201060783,1.9734982816661468,0.7267007100415772,0.6036260883283868,0,0.1462821960449218,0.078125,0.140625
gpt2,64,4,8,64,0.7234230041503906,0.7353186011314392,0.7727508544921875,0.0741232953704026,0.2287848481482772,0.3782542201060783,9.759725340533803,3.2140179171956067,2.0429404707645453,0,0.7234230041503906,0.984375,0.984375
gpt2,64,4,9,64,0.5205554962158203,0.5775488018989563,0.6324166655540466,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.0228326144236375,2.524418931469808,1.671935518331271,0,0.5205554962158203,0.84375,0.890625
gpt2,64,4,10,64,0.8179702758789062,0.8385960459709167,0.8638650178909302,0.0741232953704026,0.2287848481482772,0.3782542201060783,11.035265928092032,3.665435245202148,2.2838212291423114,0,0.8179702758789062,1.0,1.0
gpt2,64,4,11,64,0.0313278064131736,0.0781981870532035,0.1406717300415039,0.0741232953704026,0.2287848481482772,0.3782542201060783,0.4226445445608566,0.3417979279926909,0.3718973181635718,0,0.0313278064131736,0.078125,0.140625
gpt2,64,5,0,64,0.7863311767578125,0.7891641855239868,0.8115464448928833,0.0741232953704026,0.2287848481482772,0.3782542201060783,10.608421722596454,3.449372595743418,2.1455053288375523,0,0.7863311767578125,0.984375,1.0
gpt2,64,5,1,64,0.9430723190307616,0.9497596621513368,0.9897339940071106,0.0741232953704026,0.2287848481482772,0.3782542201060783,12.723022017816676,4.151322387992189,2.61658414208716,0,0.9430723190307616,0.9375,1.0
gpt2,64,5,2,64,0.5202503204345703,0.5523203015327454,0.5803367495536804,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.01871547716301,2.414147204253589,1.534250561410603,0,0.5202503204345703,0.71875,0.734375
gpt2,64,5,3,64,0.3640956878662109,0.4108107089996338,0.4876442551612854,0.0741232953704026,0.2287848481482772,0.3782542201060783,4.912027805115556,1.7956202621136177,1.2891971305026804,0,0.3640956878662109,0.765625,0.78125
gpt2,64,5,4,64,0.5268898010253906,0.5450759530067444,0.5729075074195862,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.108288944689542,2.3824827448952237,1.5146096909610658,0,0.5268898010253906,0.859375,0.859375
gpt2,64,5,5,64,0.8515281677246094,0.8613526821136475,0.8837347030639648,0.0741232953704026,0.2287848481482772,0.3782542201060783,11.487996634113811,3.7649026545472895,2.3363512053246325,0,0.8515281677246094,0.984375,0.984375
gpt2,64,5,6,64,0.7088241577148438,0.7179149389266968,0.7356123924255371,0.0741232953704026,0.2287848481482772,0.3782542201060783,9.562771786828524,3.137947922414034,1.944756603691667,0,0.7088241577148438,0.890625,0.890625
gpt2,64,5,7,64,0.754414439201355,0.7670989036560059,0.78876793384552,0.0741232953704026,0.2287848481482772,0.3782542201060783,10.177831887147748,3.3529270398135944,2.0852852180322445,0,0.754414439201355,0.890625,0.90625
gpt2,64,5,8,64,0.7388267517089844,0.7461523413658142,0.762617290019989,0.0741232953704026,0.2287848481482772,0.3782542201060783,9.967537843763989,3.2613713163479563,2.016150116728689,0,0.7388267517089844,1.0,1.0
gpt2,64,5,9,64,0.7804946899414062,0.7932398915290833,0.8108110427856445,0.0741232953704026,0.2287848481482772,0.3782542201060783,10.529681472486947,3.467187175852565,2.143561128169989,0,0.7804946899414062,1.0,1.0
gpt2,64,5,10,64,0.5372638702392578,0.5508432984352112,0.5945500731468201,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.248245879443006,2.4076913436077083,1.5718266751394958,0,0.5372638702392578,0.921875,0.921875
gpt2,64,5,11,64,0.6417961120605469,0.6613370180130005,0.6822180151939392,0.0741232953704026,0.2287848481482772,0.3782542201060783,8.6584940517474,2.890650422725472,1.803596573232195,0,0.6417961120605469,1.0,1.0
gpt2,64,6,0,64,0.3688185214996338,0.4008451700210571,0.4508865177631378,0.0741232953704026,0.2287848481482772,0.3782542201060783,4.975743720737255,1.752061700175469,1.1920197946150883,0,0.3688185214996338,0.5,0.515625
gpt2,64,6,1,64,0.6802911758422852,0.6907722353935242,0.7015431523323059,0.0741232953704026,0.2287848481482772,0.3782542201060783,9.17783231901377,3.019309368537506,1.8546869143603049,0,0.6802911758422852,0.859375,0.859375
gpt2,64,6,2,64,0.6474609375,0.6791616082191467,0.741021990776062,0.0741232953704026,0.2287848481482772,0.3782542201060783,8.734918412147803,2.968560259633002,1.959058092116589,0,0.6474609375,1.0,1.0
gpt2,64,6,3,64,0.6890525817871094,0.709766685962677,0.7544093728065491,0.0741232953704026,0.2287848481482772,0.3782542201060783,9.296032756555604,3.1023325701301325,1.994450643789199,0,0.6890525817871094,0.984375,0.984375
gpt2,64,6,4,64,0.5055999755859375,0.5411640405654907,0.626600444316864,0.0741232953704026,0.2287848481482772,0.3782542201060783,6.821067156544999,2.365384093157944,1.6565590309637237,0,0.5055999755859375,1.0,1.0
gpt2,64,6,5,64,0.6493148803710938,0.6606699824333191,0.6830759048461914,0.0741232953704026,0.2287848481482772,0.3782542201060783,8.759930021006115,2.887734864352266,1.8058645972399947,0,0.6493148803710938,1.0,1.0
gpt2,64,6,6,64,0.69183349609375,0.7061305046081543,0.720402181148529,0.0741232953704026,0.2287848481482772,0.3782542201060783,9.333550169843075,3.08643911659091,1.9045449934345693,0,0.69183349609375,1.0,1.0
gpt2,64,6,7,64,0.4460525512695312,0.4584031999111175,0.4869119226932525,0.0741232953704026,0.2287848481482772,0.3782542201060783,6.017710748565013,2.003643176640889,1.2872610451159068,0,0.4460525512695312,0.828125,0.828125
gpt2,64,6,8,64,0.5626301765441895,0.5735308527946472,0.5934725403785706,0.0741232953704026,0.2287848481482772,0.3782542201060783,7.590463615151777,2.506856802085676,1.568977975215018,0,0.5626301765441895,0.71875,0.71875
