model,seq_len,layer,head,tail_window,sink_share_first_1,sink_share_first_4,sink_share_first_8,uniform_first_1,uniform_first_4,uniform_first_8,boost_first_1,boost_first_4,boost_first_8,peak_key_pos,peak_key_mass,top1_first4_query_frac,top1_first8_query_frac
gpt2,64,0,0,64,0.20345330238342285,0.2749537527561188,0.37339091300964355,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.74479569974248,1.2018005343514668,0.98714275522142,0,0.20345330238342285,0.484375,0.484375
gpt2,64,0,1,64,0.016618628054857254,0.0702749639749527,0.16187220811843872,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.22420249898243266,0.30716616307303246,0.42794554433006193,6,0.03635189309716225,0.0625,0.125
gpt2,64,0,2,64,0.23516464233398438,0.3148292899131775,0.4281727075576782,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.1726145088239748,1.376093270429929,1.1319707350194288,0,0.23516464233398438,0.65625,0.65625
gpt2,64,0,3,64,0.026848558336496353,0.06726138293743134,0.13068270683288574,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.36221485030220274,0.29399404498080534,0.3454890914270219,39,0.029001956805586815,0.0625,0.125
gpt2,64,0,4,64,0.05323205515742302,0.1152844950556755,0.18189486861228943,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.7181555392460132,0.5038991698478158,0.48087994513657645,0,0.05323205515742302,0.09375,0.140625
gpt2,64,0,5,64,0.047468870878219604,0.20687079429626465,0.3182796239852905,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.6404042162590342,0.9042154494522735,0.8414436827592607,2,0.06523831188678741,0.296875,0.453125
gpt2,64,0,6,64,0.12890642881393433,0.17240753769874573,0.3285420536994934,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.7390811912742687,0.7535793523660582,0.8685747210100035,0,0.12890642881393433,0.171875,0.328125
gpt2,64,0,7,64,0.07174687087535858,0.12664107978343964,0.18685488402843475,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.9679395730698589,0.5535378798396762,0.4939928600823881,0,0.07174687087535858,0.09375,0.15625
gpt2,64,0,8,64,0.1243879497051239,0.23485863208770752,0.34210875630378723,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.678122229773285,1.0265480165692347,0.9044413469011546,0,0.1243879497051239,0.34375,0.390625
gpt2,64,0,9,64,0.20084381103515625,0.3078928589820862,0.4142100512981415,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.709590959650628,1.345774693884179,1.0950573166955802,0,0.20084381103515625,0.875,0.875
gpt2,64,0,10,64,0.12931323051452637,0.23603683710098267,0.3405446708202362,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.7445693674078204,1.031697855043291,0.9003063355769917,0,0.12931323051452637,0.21875,0.21875
gpt2,64,0,11,64,0.18807411193847656,0.29803287982940674,0.4335864782333374,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.537314497401236,1.3026775253763716,1.1462832539230934,0,0.18807411193847656,0.890625,0.890625
gpt2,64,1,0,64,0.06264787912368774,0.12778329849243164,0.18285012245178223,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.8451847534655479,0.5585304250988435,0.4834053732447543,0,0.06264787912368774,0.109375,0.125
gpt2,64,1,1,64,0.11425125598907471,0.15051376819610596,0.2099263072013855,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.5413677362581901,0.6578834630628896,0.5549873498900115,0,0.11425125598907471,0.109375,0.171875
gpt2,64,1,2,64,0.10512299835681915,0.15780675411224365,0.24945253133773804,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.4182180896236118,0.689760512505478,0.6594838023691609,0,0.10512299835681915,0.109375,0.171875
gpt2,64,1,3,64,0.6060256958007812,0.6611064076423645,0.7172276973724365,0.07412329537040264,0.22878484814827724,0.3782542201060783,8.175914100586072,2.889642443514862,1.896152532472198,0,0.6060256958007812,1.0,1.0
gpt2,64,1,4,64,0.2271099090576172,0.2942883372306824,0.3775164484977722,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.0639478172512815,1.2863104336348001,0.9980495350240927,0,0.2271099090576172,1.0,1.0
gpt2,64,1,5,64,0.20243453979492188,0.26804888248443604,0.407084196805954,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.73105153762165,1.1716199068861042,1.0762185196289167,0,0.20243453979492188,0.609375,0.6875
gpt2,64,1,6,64,0.33553647994995117,0.4020899534225464,0.5043952465057373,0.07412329537040264,0.22878484814827724,0.3782542201060783,4.526734520817467,1.7575025473800117,1.3334821389812486,0,0.33553647994995117,0.796875,0.796875
gpt2,64,1,7,64,0.22930026054382324,0.2925626039505005,0.41050755977630615,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.09349792663674,1.2787673935508543,1.0852689486482998,0,0.22930026054382324,0.84375,0.84375
gpt2,64,1,8,64,0.27543020248413086,0.3748549222946167,0.4741165041923523,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.7158386052289556,1.6384604370813505,1.2534334820095072,0,0.27543020248413086,1.0,1.0
gpt2,64,1,9,64,0.33106422424316406,0.4574342370033264,0.5480952262878418,0.07412329537040264,0.22878484814827724,0.3782542201060783,4.466399160868361,1.9994079184249987,1.4490128520816847,0,0.33106422424316406,1.0,1.0
gpt2,64,1,10,64,0.018074940890073776,0.13589192926883698,0.2540876865386963,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.24384966696031543,0.593972592016952,0.6717378763611401,1,0.054898619651794434,0.078125,0.125
gpt2,64,1,11,64,0.0851624608039856,0.1477552056312561,0.24267740547657013,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.1489297713818438,0.6458260100139797,0.6415722352245357,0,0.0851624608039856,0.109375,0.203125
gpt2,64,2,0,64,0.2280898094177246,0.2990940809249878,0.33671391010284424,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.0771676876740783,1.3073159492237991,0.8901788590975022,0,0.2280898094177246,0.421875,0.421875
gpt2,64,2,1,64,0.5225915908813477,0.5774170756340027,0.6388223171234131,0.07412329537040264,0.22878484814827724,0.3782542201060783,7.050301639584388,2.5238431666583714,1.688870297188649,0,0.5225915908813477,0.953125,0.953125
gpt2,64,2,2,64,0.06453856080770493,0.11918094754219055,0.16967663168907166,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.8706920069486698,0.5209302473778703,0.44857829118598397,0,0.06453856080770493,0.078125,0.140625
gpt2,64,2,3,64,0.09920936822891235,0.16858123242855072,0.20075885951519012,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.3384370963696597,0.7368548826244469,0.5307511426016317,0,0.09920936822891235,0.125,0.15625
gpt2,64,2,4,64,0.34554052352905273,0.38389965891838074,0.43035611510276794,0.07412329537040264,0.22878484814827724,0.3782542201060783,4.66169942664242,1.6779942466713198,1.1377430633347014,0,0.34554052352905273,0.421875,0.453125
gpt2,64,2,5,64,0.10432803630828857,0.13922373950481415,0.19518005847930908,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.4074932285046065,0.6085356641038665,0.5160023288691199,0,0.10432803630828857,0.09375,0.140625
gpt2,64,2,6,64,0.20962876081466675,0.2801811993122101,0.33313703536987305,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.828109027899093,1.2246492789182546,0.8807225872495157,0,0.20962876081466675,0.5625,0.5625
gpt2,64,2,7,64,0.17578697204589844,0.23146381974220276,0.3367394506931305,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.371548258445212,1.0117095673756737,0.8902463813852353,0,0.17578697204589844,0.734375,0.765625
gpt2,64,2,8,64,0.1334242820739746,0.19088539481163025,0.22365371882915497,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.8000317094273548,0.8343445658950104,0.5912788461855975,0,0.1334242820739746,0.109375,0.15625
gpt2,64,2,9,64,0.09707581996917725,0.12688736617565155,0.19221773743629456,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.3096533213219703,0.5546143776681175,0.5081707677508229,0,0.09707581996917725,0.078125,0.140625
gpt2,64,2,10,64,0.0936703085899353,0.13731423020362854,0.21880245208740234,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.2637094468325238,0.6001893539498477,0.578453432789305,0,0.0936703085899353,0.109375,0.125
gpt2,64,2,11,64,0.5785560607910156,0.5985013246536255,0.6321637630462646,0.07412329537040264,0.22878484814827724,0.3782542201060783,7.805320282913818,2.6160007076418457,1.6712669137411857,0,0.5785560607910156,1.0,1.0
gpt2,64,3,0,64,0.840911865234375,0.8582404255867004,0.873348593711853,0.07412329537040264,0.22878484814827724,0.3782542201060783,11.344771721659724,3.751299233900613,2.3088931921682976,0,0.840911865234375,1.0,1.0
gpt2,64,3,1,64,0.4666481018066406,0.503480076789856,0.5311179757118225,0.07412329537040264,0.22878484814827724,0.3782542201060783,6.295566049441627,2.2006705464321072,1.404129676498718,0,0.4666481018066406,0.953125,0.953125
gpt2,64,3,2,64,0.19710534811019897,0.2625465393066406,0.2895476520061493,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.659155224079567,1.1475696115001557,0.7654842606248994,0,0.19710534811019897,0.28125,0.3125
gpt2,64,3,3,64,0.5490965843200684,0.5708619356155396,0.5855079293251038,0.07412329537040264,0.22878484814827724,0.3782542201060783,7.407881443696876,2.4951911817410193,1.5479217367645042,0,0.5490965843200684,0.75,0.75
gpt2,64,3,4,64,0.7752494812011719,0.78934645652771,0.8165974020957947,0.07412329537040264,0.22878484814827724,0.3782542201060783,10.458918175819909,3.4501692875051253,2.158858668825391,0,0.7752494812011719,1.0,1.0
gpt2,64,3,5,64,0.49721622467041016,0.5530451536178589,0.6190574765205383,0.07412329537040264,0.22878484814827724,0.3782542201060783,6.707961676363192,2.4173154738788734,1.6366175011793094,0,0.49721622467041016,0.96875,0.984375
gpt2,64,3,6,64,0.166598379611969,0.22280603647232056,0.2661822438240051,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.24758463286687,0.973867099485182,0.7037125554061406,0,0.166598379611969,0.171875,0.21875
gpt2,64,3,7,64,0.20591378211975098,0.23772980272769928,0.28003886342048645,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.777990118906291,1.0390976703738035,0.7403456419916528,0,0.20591378211975098,0.25,0.28125
gpt2,64,3,8,64,0.2289431095123291,0.278500497341156,0.31025412678718567,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.0886795894364116,1.2173030670311595,0.8202264781082349,0,0.2289431095123291,0.171875,0.21875
gpt2,64,3,9,64,0.43753767013549805,0.49977800250053406,0.5190486311912537,0.07412329537040264,0.22878484814827724,0.3782542201060783,5.902836185966529,2.1844890802236345,1.3722216530609777,0,0.43753767013549805,0.796875,0.796875
gpt2,64,3,10,64,0.5181617736816406,0.5298107862472534,0.5534594655036926,0.07412329537040264,0.22878484814827724,0.3782542201060783,6.990538819035589,2.3157599401157847,1.4631944234448448,0,0.5181617736816406,0.984375,0.984375
gpt2,64,3,11,64,0.30036258697509766,0.36683976650238037,0.39041846990585327,0.07412329537040264,0.22878484814827724,0.3782542201060783,4.052202286395271,1.6034268417313575,1.032158926862372,0,0.30036258697509766,0.59375,0.59375
gpt2,64,4,0,64,0.4049666225910187,0.4667223393917084,0.4777863025665283,0.07412329537040264,0.22878484814827724,0.3782542201060783,5.463419031322796,2.0400054600172735,1.2631354183769241,0,0.4049666225910187,0.5625,0.5625
