model,seq_len,layer,head,tail_window,sink_share_first_1,sink_share_first_4,sink_share_first_8,uniform_first_1,uniform_first_4,uniform_first_8,boost_first_1,boost_first_4,boost_first_8,peak_key_pos,peak_key_mass,top1_first4_query_frac,top1_first8_query_frac
gpt2-medium,64,0,0,64,0.15163660049438477,0.22048819065093994,0.383526474237442,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.0457347415092544,0.9637359835474761,1.0139383881292459,0,0.15163660049438477,0.390625,0.40625
gpt2-medium,64,0,1,64,0.11832976341247559,0.2509664297103882,0.367914617061615,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.5963910241870403,1.0969538924524185,0.9726649367148802,0,0.11832976341247559,0.453125,0.46875
gpt2-medium,64,0,2,64,0.09835070371627808,0.3023880422115326,0.3807477355003357,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.326852823053917,1.3217135866250747,1.0065921680756347,0,0.09835070371627808,0.328125,0.359375
gpt2-medium,64,0,3,64,0.3202495574951172,0.4527445435523987,0.5293192863464355,0.07412329537040264,0.22878484814827724,0.3782542201060783,4.320498109194866,1.9789096490296045,1.3993744371126706,0,0.3202495574951172,1.0,1.0
gpt2-medium,64,0,4,64,0.06434911489486694,0.2708126902580261,0.36687588691711426,0.07412329537040264,0.22878484814827724,0.3782542201060783,0.868136185436805,1.183700286316646,0.9699188202427111,1,0.08917272090911865,0.296875,0.359375
gpt2-medium,64,0,5,64,0.19389963150024414,0.2393099069595337,0.39346781373023987,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.6159067878904376,1.046004177708635,1.0402205522515917,0,0.19389963150024414,0.46875,0.5625
gpt2-medium,64,0,6,64,0.21385136246681213,0.2878912687301636,0.3941005766391754,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.8850762961653587,1.2583493664911718,1.0418934031420803,0,0.21385136246681213,0.390625,0.421875
gpt2-medium,64,0,7,64,0.19290339946746826,0.374735951423645,0.5075391530990601,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.602466586293928,1.6379404250616096,1.3417937622922618,0,0.19290339946746826,0.84375,0.84375
gpt2-medium,64,0,8,64,0.1036980152130127,0.24742329120635986,0.36798498034477234,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.3989935916208496,1.0814671216600975,0.9728509578599651,0,0.1036980152130127,0.46875,0.5
gpt2-medium,64,0,9,64,0.23611950874328613,0.2869480848312378,0.38697245717048645,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.1854966453308604,1.254226786230461,1.0230486181012421,0,0.23611950874328613,0.734375,0.734375
gpt2-medium,64,0,10,64,0.16176819801330566,0.20458491146564484,0.3351423740386963,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.1824204820486104,0.8942240411526369,0.8860241504898699,0,0.16176819801330566,0.375,0.390625
gpt2-medium,64,0,11,64,0.07828003168106079,0.25252866744995117,0.3738495111465454,0.07412329537040264,0.22878484814827724,0.3782542201060783,1.0560786766142338,1.1037823067998165,0.988355162413528,0,0.07828003168106079,0.1875,0.21875
gpt2-medium,64,0,12,64,0.2726922035217285,0.36429253220558167,0.4624956250190735,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.678900164368761,1.5922930873878538,1.222711077458357,0,0.2726922035217285,0.703125,0.703125
gpt2-medium,64,0,13,64,0.19932222366333008,0.38238000869750977,0.5022599697113037,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.689063170590217,1.6713519789111484,1.3278370551171883,0,0.19932222366333008,1.0,1.0
gpt2-medium,64,0,14,64,0.5031490325927734,0.528570830821991,0.6168546080589294,0.07412329537040264,0.22878484814827724,0.3782542201060783,6.788001397920583,2.310340195603426,1.6307937235596146,0,0.5031490325927734,0.890625,0.890625
gpt2-medium,64,0,15,64,0.24115753173828125,0.4787588119506836,0.592259407043457,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.253464791779552,2.0926159045305144,1.5657707847313977,0,0.24115753173828125,1.0,1.0
gpt2-medium,64,1,0,64,0.2344379425048828,0.3355811834335327,0.4151706099510193,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.1628105757221046,1.4667981125045482,1.0975967692695883,0,0.2344379425048828,0.984375,0.984375
gpt2-medium,64,1,1,64,0.3223590850830078,0.4146325886249542,0.5020016431808472,0.07412329537040264,0.22878484814827724,0.3782542201060783,4.348957820508955,1.812325387720727,1.3271541109047373,0,0.3223590850830078,0.984375,0.984375
gpt2-medium,64,1,2,64,0.24469423294067383,0.35157060623168945,0.4746440052986145,0.07412329537040264,0.22878484814827724,0.3782542201060783,3.3011785528140454,1.536686581638631,1.2548280496791404,0,0.24469423294067383,0.734375,0.796875
gpt2-medium,64,1,3,64,0.3668327331542969,0.578258752822876,0.6907904148101807,0.07412329537040264,0.22878484814827724,0.3782542201060783,4.948953379921811,2.527522069329093,1.8262596372790083,0,0.3668327331542969,1.0,1.0
gpt2-medium,64,1,4,64,0.1713234782218933,0.28804418444633484,0.41409438848495483,0.07412329537040264,0.22878484814827724,0.3782542201060783,2.3113311053666754,1.2590177486738596,1.0947515360670013,0,0.1713234782218933,0.375,0.453125
