seq_len,strategy,budget,n_sink,ppl,ppl_ratio,loss
256,baseline,256,0,3.1413161754608154,1.0,1.1446418762207031
256,recency_only_abspos,32,0,16018.681640625,5099.353502127222,9.681510925292969
256,sink1_recency_abspos,32,1,54217.8984375,17259.61202537866,10.900766372680664
256,sink4_recency_abspos,32,4,7434.0849609375,2366.551007826188,8.913830757141113
256,recency_only_abspos,64,0,14935.140625,4754.421328763282,9.611472129821777
256,sink1_recency_abspos,64,1,31706.736328125,10093.455913737744,10.36428451538086
256,sink4_recency_abspos,64,4,16038.5234375,5105.669898111172,9.682748794555664
256,recency_only_abspos,128,0,399.72564697265625,127.2478237291789,5.99077844619751
256,sink1_recency_abspos,128,1,332.3965759277344,105.81442852659474,5.806328773498535
256,sink4_recency_abspos,128,4,367.0720520019531,116.85294682191788,5.905558109283447
512,baseline,512,0,1.8002725839614868,1.0,0.5879380702972412
512,recency_only_abspos,32,0,360829.09375,200430.25537610432,12.796159744262695
512,sink1_recency_abspos,32,1,96885.8671875,53817.33191442784,11.48128890991211
512,sink4_recency_abspos,32,4,112802.234375,62658.41927491863,11.633391380310059
512,recency_only_abspos,64,0,124344.484375,69069.80947373029,11.73081111907959
512,sink1_recency_abspos,64,1,84749.9765625,47076.19130432364,11.347460746765137
512,sink4_recency_abspos,64,4,30951.259765625,17192.54075264368,10.340168952941895
512,recency_only_abspos,128,0,8464.0732421875,4701.550930449859,9.043585777282715
512,sink1_recency_abspos,128,1,2060.826416015625,1144.7302116220596,7.630862236022949
512,sink4_recency_abspos,128,4,1637.0654296875,909.3430874146566,7.400660514831543
512,recency_only_abspos,256,0,25.74875831604004,14.302699794150108,3.2483863830566406
512,sink1_recency_abspos,256,1,21.530569076538086,11.959616153882777,3.0694737434387207
512,sink4_recency_abspos,256,4,37.60194778442383,20.886807986422262,3.6270558834075928
1024,baseline,1024,0,1.3522008657455444,1.0,0.30173352360725403
1024,recency_only_abspos,32,0,282568.65625,208969.43894071833,12.551676750183105
1024,sink1_recency_abspos,32,1,265504.09375,196349.59603698572,12.489385604858398
1024,sink4_recency_abspos,32,4,189719.546875,140304.26372371602,12.153302192687988
1024,recency_only_abspos,64,0,359477.90625,265846.5286899514,12.792407989501953
1024,sink1_recency_abspos,64,1,469825.5625,347452.49348805787,13.0601167678833
1024,sink4_recency_abspos,64,4,735323.0625,543797.21321549,13.508065223693848
1024,recency_only_abspos,128,0,14393.5615234375,10644.543934307807,9.574536323547363
1024,sink1_recency_abspos,128,1,21564.29296875,15947.55151769585,9.97879409790039
1024,sink4_recency_abspos,128,4,13130.896484375,9710.758820683935,9.482723236083984
1024,recency_only_abspos,256,0,1143.720458984375,845.8214219185384,7.042041778564453
1024,sink1_recency_abspos,256,1,1285.5479736328125,950.7078468878346,7.158940315246582
1024,sink4_recency_abspos,256,4,1511.142822265625,1117.5431554190338,7.320621490478516
