seq_len,mask_name,mask_group,mask_size,tail_loss,tail_ppl,ppl_ratio,loss_delta,last_token_kl,top1_changed,top5_overlap
256,first_1,sink,1,0.043004777282476425,1.0439428820487366,0.9939429430165134,-0.006075475364923477,0.005331681575626135,0.0,0.4
256,first_4,sink,4,0.05670585110783577,1.0583444537565392,1.0076547473819255,0.007625598460435867,0.005804079584777355,0.0,0.4
256,first_8,sink,8,0.14222300052642822,1.1528337023968853,1.0976184067851036,0.09314274787902832,0.0035101785324513912,0.0,0.4
256,middle_4,middle,4,0.04555746167898178,1.0466111429196214,0.9964834067797591,-0.0035227909684181213,8.215266461775173e-06,0.0,1.0
256,middle_8,middle,8,0.05911530554294586,1.0608975610572058,1.0100855728877054,0.01003505289554596,7.756601553410292e-05,0.0,0.8
256,recent_4,recent,4,0.09565449506044388,1.1003788119933626,1.0476758581650423,0.046574242413043976,2.3115855583455414e-05,0.0,1.0
256,recent_8,recent,8,0.3490391969680786,1.4177047589811007,1.3498033893432948,0.2999589443206787,0.00034300051629543304,0.0,0.8
256,random_4_mean,random_4,4,0.1019670640428861,1.1093612617312585,1.0562280909370696,0.0528868113954862,1.4700189694849541e-05,0.0,1.0
256,random_8_mean,random_8,8,0.10701252768437068,1.1149984066041034,1.06159524316491,0.05793227503697077,0.00022775499019189738,0.0,0.8000000000000002
512,first_1,sink,1,0.019548386335372925,1.0197407071828013,0.9924335114012817,-0.0075952596962451935,0.01266203261911869,0.0,0.4
512,first_4,sink,4,0.025731489062309265,1.0260654016982942,0.9985888396551589,-0.0014121569693088531,0.010489735752344131,0.0,0.4
512,first_8,sink,8,0.09841787070035934,1.103423777250838,1.0738756686942859,0.07127422466874123,0.014805899001657963,0.0,0.4
512,middle_4,middle,4,0.0385882593691349,1.039342456019495,1.0115103534755274,0.011444613337516785,0.0004064010572619736,0.0,1.0
512,middle_8,middle,8,0.04189584404230118,1.042785860734255,1.0148615487432793,0.01475219801068306,0.0006442510057240725,0.0,1.0
512,recent_4,recent,4,0.15714675188064575,1.1701673255567968,1.1388319203591415,0.13000310584902763,0.00012102960317861289,0.0,1.0
512,recent_8,recent,8,0.08534075319766998,1.0890881137343758,1.0599238937168853,0.058197107166051865,0.000135478752781637,0.0,1.0
512,random_4_mean,random_4,4,0.060132467498381935,1.0630171398678228,1.0345510631945904,0.03298882146676382,0.000632305396720767,0.0,1.0
512,random_8_mean,random_8,8,0.0439728827526172,1.0452790188950483,1.0172879436989444,0.01682923672099908,0.0007656799377097437,0.0,0.9333333333333332
1024,first_1,sink,1,0.028512153774499893,1.028922516050769,1.0154460879646006,0.015328011475503445,0.0007993264007382095,0.0,0.4
1024,first_4,sink,4,0.030416227877140045,1.0308835271299397,1.017381414481161,0.017232085578143597,0.0013225923758000135,0.0,0.4
1024,first_8,sink,8,0.0853714644908905,1.08912156155239,1.0748566697141868,0.07218732219189405,0.0014774957671761513,0.0,0.4
1024,middle_4,middle,4,0.013064868748188019,1.0131505870385167,0.9998807335619989,-0.00011927355080842972,1.4106473145147902e-07,0.0,1.0
1024,middle_8,middle,8,0.018538527190685272,1.0187114325031388,1.005368745229291,0.005354384891688824,9.499239013166516e-07,0.0,1.0
1024,recent_4,recent,4,0.6380985975265503,1.8928783319018292,1.8680861455925517,0.6249144552275538,1.5518621694354806e-06,0.0,1.0
1024,recent_8,recent,8,0.2836002707481384,1.3279020233679117,1.3105096776429086,0.270416128449142,3.064240445382893e-06,0.0,1.0
1024,random_4_mean,random_4,4,0.05358278223623832,1.0568283896151207,1.0429864612192545,0.040398639937241874,6.460694284745235e-06,0.0,1.0
1024,random_8_mean,random_8,8,0.012946130086978277,1.0130302976459127,0.9997620196732093,-0.00023801221201817194,5.787458559325387e-05,0.0,0.9333333333333332
