model,seq_len,layer,head,sink_share_first_1,sink_share_first_4,entropy,normalized_entropy,peak_position,head_type
gpt2,512,0,0,0.0006288057193160057,0.0009366637095808983,5.261855602264404,0.8434725536956296,448,distributed
gpt2,512,0,1,4.179775714874268e-06,8.032750338315964e-05,5.058335781097412,0.8108484385044931,453,distributed
gpt2,512,0,2,0.0005726227536797523,0.0008324049413204193,5.501360893249512,0.8818651198701721,448,distributed
gpt2,512,0,3,0.0,0.0,4.132076263427734,0.6623695482024656,486,recency
gpt2,512,0,4,3.725290298461914e-09,3.725290298461914e-09,4.102491855621338,0.657627183932474,448,recency
gpt2,512,0,5,0.00032415520399808884,0.008860927075147629,6.0755205154418945,0.9739025909385756,336,distributed
gpt2,512,0,6,0.0003076307475566864,0.0006408635526895523,5.073731899261475,0.8133164277627413,455,distributed
gpt2,512,0,7,0.0,0.0,4.08355712890625,0.6545919576733134,471,recency
gpt2,512,0,8,0.0002931011840701103,0.00043818913400173187,5.213994979858398,0.8358005222957402,453,distributed
gpt2,512,0,9,0.0004756636917591095,0.0006398791447281837,5.301612854003906,0.8498456192427355,448,distributed
gpt2,512,0,10,0.0007064715027809143,0.0010319361463189125,5.205374240875244,0.8344186225868742,454,distributed
gpt2,512,0,11,0.005493156611919403,0.02276010811328888,6.0114521980285645,0.9636324749596521,5,distributed
gpt2,512,1,0,2.3655593395233154e-07,1.559033989906311e-06,4.421565055847168,0.7087744421154046,449,recency
gpt2,512,1,1,4.478730261325836e-06,5.3960829973220825e-06,4.23795223236084,0.6793414076834773,471,recency
gpt2,512,1,2,0.00018869712948799133,0.0019982829689979553,5.285855770111084,0.8473197673770637,117,distributed
gpt2,512,1,3,0.0044252872467041016,0.004453805275261402,5.311664581298828,0.8514569055894857,117,distributed
gpt2,512,1,4,0.00012465380132198334,0.0007988791912794113,4.709428787231445,0.7549188396398369,474,recency
gpt2,512,1,5,0.003255872055888176,0.003763851709663868,5.7441487312316895,0.920783876519621,453,distributed
gpt2,512,1,6,0.0019792811945080757,0.0052483342587947845,5.928508758544922,0.9503366873132827,446,distributed
gpt2,512,1,7,0.005084887146949768,0.007759605534374714,5.771416187286377,0.9251548347004828,446,distributed
gpt2,512,1,8,0.019329428672790527,0.019611120223999023,6.021975040435791,0.9653192807993145,0,distributed
gpt2,512,1,9,0.003665618598461151,0.006752895191311836,6.064424514770508,0.9721239081449855,449,distributed
gpt2,512,1,10,0.00020110420882701874,0.00041334331035614014,5.1884355545043945,0.8317033604950521,453,distributed
